poolId,ticker,stakeAmount,"21,513,965,191,494,200",Cumulative,Bifrost stakeAmount,"17,242,689,233,737,000",Cumulative,51%
pool19yzqr3meksnvzdxh5xf6aknfhldyqdj7eaquxgcjva4mzt5kg3v,,"147,812,357,942,874",0.69%,0.69%,0,0.00%,0.00%,246
pool1gaztx97t53k47fr7282d70tje8323vvzx8pshgts30t9krw62tm,TW001,"109,574,769,423,722",0.51%,1.20%,0,0.00%,0.00%,60%
pool1f2wfjqkf2wx6jq93pdck6hgmy9zgw32lmvrq9zejl7scqxjqfze,,"92,652,138,032,910",0.43%,1.63%,0,0.00%,0.00%,333
pool1aqg8vxzv75zhjzjjd9s20fu6r0xz70yl8lk3teacwy7qyc2p2j7,KILN7,"81,963,457,622,120",0.38%,2.01%,"81,963,457,622,120",0.38%,0.38%,67%
pool12m7z9p7jqymxrvvp6z7vmfdu6j6u6y43p0m6y4xalz43sc8s4t9,N/A,"80,428,784,240,629",0.37%,2.38%,"80,428,784,240,629",0.37%,0.75%,417
pool1yh7ksvg54nger73ldnf22cgwyh0dnm4aerahdd0kdukjqeacy32,N/A,"78,356,356,735,976",0.36%,2.75%,"78,356,356,735,976",0.36%,1.12%,
pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,ADV,"77,035,071,634,403",0.36%,3.10%,"77,035,071,634,403",0.36%,1.48%,
pool1ekcsyzwexl7p2kwxxh34hy28l6772vrmff7jwmuxsa6u6fzty9z,ADALO,"76,975,327,026,433",0.36%,3.46%,"76,975,327,026,433",0.36%,1.83%,
pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,CH1,"76,480,223,982,107",0.36%,3.82%,0,0.00%,1.83%,
pool16ajaae2n5lsyr4f9k9uz5y8tpf0996tw640dzu7chwp2wdrnz6a,BLADE,"76,403,468,752,016",0.36%,4.17%,"76,403,468,752,016",0.36%,2.19%,
pool1a5ld0eulnjxwpg6qyjs6hxzqwj0esft7k0qsf6nj8pkfxy5lml3,,"76,367,010,330,329",0.35%,4.53%,,0.00%,2.19%,
pool1ntlyr9hrrdg3gpdkmr267hq46ys2rlj5y25dzx3reuecgd7p5sh,,"76,366,839,638,793",0.35%,4.88%,,0.00%,2.19%,
pool1cxjqg6nn588ura2rx4uptwprgzw82j89j2gjguwhtun4ypw2sh4,,"76,363,440,608,616",0.35%,5.24%,,0.00%,2.19%,
pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,,"76,361,212,653,885",0.35%,5.59%,,0.00%,2.19%,
pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,,"76,360,786,586,728",0.35%,5.95%,,0.00%,2.19%,
pool1kphkk90f2mculhcndpdd3a7ukvptzqrgyr9jtuvw6c5z2dptuph,,"76,358,507,779,623",0.35%,6.30%,,0.00%,2.19%,
pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,,"76,357,780,838,163",0.35%,6.66%,,0.00%,2.19%,
pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf,,"76,303,424,910,904",0.35%,7.01%,,0.00%,2.19%,
pool18rjrygm3knlt67n3r3prlhnzcjxun7wa8d3l8w9nmlpasquv4au,CF1,"76,303,010,017,833",0.35%,7.37%,"76,303,010,017,833",0.35%,2.54%,
pool1n6erydn8x79sa3fmrqmj7mcyqa9em5fppr447j6d9k0xwfl7sc5,CF4,"76,301,500,320,156",0.35%,7.72%,"76,301,500,320,156",0.35%,2.90%,
pool1xmlq3sgssww6kwu8dupgxukzhlk77j40p9c4r3qux3j5z2ysk2c,CF2,"76,301,499,880,772",0.35%,8.08%,"76,301,499,880,772",0.35%,3.25%,
pool1l0erdjregched3dj828q93rfa2f4w4p62nr248xshj5huq6zuvp,CF3,"76,301,499,726,481",0.35%,8.43%,"76,301,499,726,481",0.35%,3.61%,
pool1r9fpxs4kcn80kylsjxs8tg3p50nk2s66qerfqtw4x70n5740nj9,,"75,997,949,935,309",0.35%,8.78%,,0.00%,3.61%,
pool1kmmahq4upmm5j8fkh3xa9vd7gdffkp8pd4axucfh4w4dw549yqe,,"75,957,600,533,493",0.35%,9.14%,,0.00%,3.61%,
pool1axzm26vduyuxgw0x9ddh4vkvn7q5hyd558l0t9c08p556lf2zaj,,"75,942,429,357,006",0.35%,9.49%,,0.00%,3.61%,
pool13l9qxpuzd70h7hkjr4ec3pf50w4x6tst5pxc7w33l5lyj4lpmtv,,"75,626,461,423,581",0.35%,9.84%,,0.00%,3.61%,
pool1luhm55xxqp0cv7a43rcfrr8m6m74kfe7wdvqdgfzt483x29lr0t,CF5,"75,500,025,793,072",0.35%,10.19%,"75,500,025,793,072",0.35%,3.96%,
pool1r2fph82mjhgu955cesn4yejjva4sk7uuh06yhwf8e9ln5djy5h7,CF6,"75,500,001,574,016",0.35%,10.54%,"75,500,001,574,016",0.35%,4.31%,
pool1mfyzxyggryp0jhgghvzas7qjdyz2rcfnm5rfq8s9uefvukrlps5,,"75,369,505,570,533",0.35%,10.89%,,0.00%,4.31%,
pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx,NORTH,"75,339,097,477,062",0.35%,11.24%,"75,339,097,477,062",0.35%,4.66%,
pool1mtxmk0skqkr5y0wxnxps4n35j6wn9q8dfr82y423vvlp53vccux,KILN3,"75,326,430,876,420",0.35%,11.59%,"75,326,430,876,420",0.35%,5.01%,
pool16agnvfan65ypnswgg6rml52lqtcqe5guxltexkn82sqgj2crqtx,SPIRE,"75,017,472,025,684",0.35%,11.94%,"75,017,472,025,684",0.35%,5.36%,
pool1ljqjqskd4f4zekzddw204u5xtzhyz2cllq5v5dmn27zdwf9c70f,,"74,724,133,030,859",0.35%,12.29%,,0.00%,5.36%,
pool1w4cetqsly2cz9fq2te95tnk2r56mh6ew6dmpyfctv2ldv8xuj9g,,"74,720,154,731,985",0.35%,12.64%,,0.00%,5.36%,
pool18xu4fh88v4naq5u3x9ya5aevfkrfd7a8a4gw6sejdvjnsrpud2a,,"74,675,770,534,973",0.35%,12.98%,,0.00%,5.36%,
pool17rjst78s67lvellg8s586rf076jxa3wnsdz730f4xk2zwuhrtej,NORTH,"74,611,142,418,693",0.35%,13.33%,"74,611,142,418,693",0.35%,5.71%,
pool1v62c7d92xv6gyh4x9rhfpkwzlpw2ypxk92xvzavakg3xypatklv,KILN2,"74,574,928,114,452",0.35%,13.68%,"74,574,928,114,452",0.35%,6.05%,
pool1k633phcvz2hjhj45evwwau4w576jpq83acg5h84w23jauqu56cw,NORTH,"74,401,723,422,565",0.35%,14.02%,"74,401,723,422,565",0.35%,6.40%,
pool10d6mmw3mn9ku3r7uqqye672dz3sv76lh5kvh5rdpr9l5ug5yknr,KILN4,"74,380,245,791,546",0.35%,14.37%,"74,380,245,791,546",0.35%,6.74%,
pool155p7g23vdme50kp5lfqylfx5h7ndldyz2mletvr8fqucqzyrk44,,"74,355,396,706,494",0.35%,14.71%,,0.00%,6.74%,
pool1eqa7kxx4xg35cu4rqj4exkvzhenscgh8wxez0gl7hsagygp79kr,PILOT,"74,164,002,382,760",0.34%,15.06%,"74,164,002,382,760",0.34%,7.09%,
pool1ahazpr2yz5gljk2m4q8g7wnmq7m2sr9unhdfmr5arhqrjnntwdz,ADV3,"74,156,609,361,028",0.34%,15.40%,"74,156,609,361,028",0.34%,7.43%,
pool1yyar66t9fw9dscj8huhredgwplcnf22zq7q7vugur0t5c9nzt97,,"74,032,049,513,174",0.34%,15.75%,,0.00%,7.43%,
pool1hv59awqky90plv68xun2k3rd7jqfe5y2c4ry8f7p0x9pxhd7wqr,,"74,030,047,030,343",0.34%,16.09%,,0.00%,7.43%,
pool197na7w0h8hjc8wdvwys7nsalhtpctefa3m23udeqxpfk6nzq8l9,N/A,"73,770,335,119,130",0.34%,16.44%,"73,770,335,119,130",0.34%,7.78%,
pool1xsj9s3mfpztls97x7jjql0msmeh5v3wa5vyqhmmmsx8jzsqxrsv,,"73,761,933,654,588",0.34%,16.78%,,0.00%,7.78%,
pool18ufrgfgmslekdxnk9v9345qvhrr7vfgzkvneqtwm7unnwaht6ww,OGAM,"73,660,206,410,962",0.34%,17.12%,"73,660,206,410,962",0.34%,8.12%,
pool18vej0s9gska8c847aj95g9v24duuxg2g63d5cuqngnxew643jw9,ADV2,"73,199,240,057,055",0.34%,17.46%,"73,199,240,057,055",0.34%,8.46%,
pool1nqheyct9a0mxn80cwp9pd5guncfu3rzwqtmru0l94accz7gjcgl,CAG,"73,126,019,775,084",0.34%,17.80%,"73,126,019,775,084",0.34%,8.80%,
pool19pyfv4xnln8x4l7auw0n0skk3hd97shun707hrw5d4s553ys74x,TITAN,"73,075,709,888,509",0.34%,18.14%,"73,075,709,888,509",0.34%,9.14%,
pool19hrn8me383w9atvmjwukjxqsdvr8udpmyxau956hdc53x669j8p,,"72,907,903,213,763",0.34%,18.48%,,0.00%,9.14%,
pool1nz9h4raywm6mu2v8l7htuaqvmn06l3mepuaxynpzlwljsf8txhy,NORTH,"72,693,950,507,383",0.34%,18.82%,"72,693,950,507,383",0.34%,9.48%,
pool1zgjk3dzwcwd02juqntuzknr368hvxjxy8l8uzkxvgu4252d7ekf,,"72,624,173,355,763",0.34%,19.15%,,0.00%,9.48%,
pool1l0m820vyqh5pp2yzpw973qzz23neqqd977u0uczh9fs9zqvg0je,,"72,232,046,300,224",0.34%,19.49%,,0.00%,9.48%,
pool1vx9tzlkgafernd9vpjpxkenutx2gncj4yn88fpq69823qlwcqrt,CRDNS,"71,790,631,171,837",0.33%,19.82%,"71,790,631,171,837",0.33%,9.81%,
pool13c9mnvfx4nvwvkszxcprwlv60fh3tteef50hhhv9yxptsua2v70,DARK,"71,098,030,912,419",0.33%,20.15%,"71,098,030,912,419",0.33%,10.14%,
pool1fl20ddkpvnstlx63fal6e3ku46r76nk2s4mqtk5jnyxn2vt7hg6,KOH,"70,537,035,371,516",0.33%,20.48%,"70,537,035,371,516",0.33%,10.47%,
pool17s3mr9c4ejjfq20dz0ls9ggskc770kt267s9xmw93payzdswwgg,FIKA,"70,523,675,643,158",0.33%,20.81%,"70,523,675,643,158",0.33%,10.80%,
pool1qqqqpanw9zc0rzh0yp247nzf2s35uvnsm7aaesfl2nnejaev0uc,TITAN,"70,515,053,686,292",0.33%,21.14%,"70,515,053,686,292",0.33%,11.12%,
pool1tdsrw0n33gmy0mzh7cgtn9p0jy5xwjxaa2s26gn2ewf8kg4nrzx,CAFE,"70,453,113,127,001",0.33%,21.47%,"70,453,113,127,001",0.33%,11.45%,
pool1j276s043qh2knv3ukmap6sra6sk7p5khuetzwx9h43wqydzsx8c,UBE,"70,335,595,765,354",0.33%,21.79%,"70,335,595,765,354",0.33%,11.78%,
pool1xed948ze4guhrkt9zxjmecjvgkvgf8gd8skkzgtacz6gsyk9m5c,WGM,"70,327,567,335,053",0.33%,22.12%,"70,327,567,335,053",0.33%,12.11%,
pool1457cnl7qu568h98xrw8krfnjkhf05mfhaq2l50epwy36yuln20q,,"70,324,715,313,668",0.33%,22.45%,,0.00%,12.11%,
pool1edqwpnln3zr9gj9sfsmyl72pen6hdwev07xgqj7uz5mkjrgfj6h,TBG,"70,198,828,780,333",0.33%,22.77%,"70,198,828,780,333",0.33%,12.43%,
pool14xq8v9s80ut6vmwp93tzhlydhsdqhxk3e9jerl2kl7hm2dq6pru,ARH,"70,188,708,064,110",0.33%,23.10%,"70,188,708,064,110",0.33%,12.76%,
pool18gk8kvd9qf829nldqus92q9y640e6u0jdyfz04mmktwxvglgt06,SBP1,"70,087,656,619,105",0.33%,23.42%,"70,087,656,619,105",0.33%,13.08%,
pool1hnp560z9e5acwux8tjguxq36j9r255zuf02u7z2d46dvcf5zhns,LCP,"70,078,765,269,305",0.33%,23.75%,"70,078,765,269,305",0.33%,13.41%,
pool1vcwsfldh4gkzga4mc6p86y0vytkqfm9e2dy44hs00v34yeqnfaf,FVG,"70,069,279,385,503",0.33%,24.08%,"70,069,279,385,503",0.33%,13.74%,
pool1sdare7xfd6tmak8ghek7kwgpgj6xzu0reppmw4t46rmcs0h6vr2,UTA,"70,053,638,254,025",0.33%,24.40%,"70,053,638,254,025",0.33%,14.06%,
pool1fqas6yd8n3fdpz8e869qjvyensdmzletqjexcut8mxasu2sk72r,LAG,"70,046,260,552,710",0.33%,24.73%,"70,046,260,552,710",0.33%,14.39%,
pool1s8347yjgmfguf0ynj69euw7r75w7usdrfheckpcrjrk2yfvnpwq,N/A,"70,041,845,969,915",0.33%,25.05%,"70,041,845,969,915",0.33%,14.71%,
pool1lev7ygxcqd4aw5em7wf7y64au4hv04yl5cew27lkjmgngj46vqk,TLK,"70,038,856,446,147",0.33%,25.38%,"70,038,856,446,147",0.33%,15.04%,
pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d,,"70,030,505,230,391",0.33%,25.70%,,0.00%,15.04%,
pool17arsgklktp9sayk5kzaakwvl3jwyczp07guux2yd0upgqh04qjl,RMH,"70,028,385,642,996",0.33%,26.03%,"70,028,385,642,996",0.33%,15.36%,
pool1njjr0zn7uvydjy8067nprgwlyxqnznp9wgllfnag24nycgkda25,FMD,"70,024,677,437,850",0.33%,26.35%,"70,024,677,437,850",0.33%,15.69%,
pool13s5faca3kkg6jhqcll8xd9tarur3zkhalyuu92d5g87zyj4wrrc,TZD,"70,023,901,861,339",0.33%,26.68%,"70,023,901,861,339",0.33%,16.01%,
pool16e43yxx4djcvnsunwgrm8tnph0ljrt3p9tnezu3qvtcwzh4zwwa,FBA,"70,023,796,687,037",0.33%,27.01%,"70,023,796,687,037",0.33%,16.34%,
pool1tn7rcvc5lln8frln5n9rfd9cg8kcrj4vlm3ycdquyx5s2mlhmtk,N/A,"70,022,747,550,146",0.33%,27.33%,"70,022,747,550,146",0.33%,16.67%,
pool1qlps2dwr0qd0a7pjqr47apewf2lq42xv03zgentgwv9mspeh57g,,"70,020,449,506,265",0.33%,27.66%,,0.00%,16.67%,
pool1w7dk7rn0cflzzfr4fqvjpapn0rkz5ksmerx5tgwpm2gtj2gly97,N/A,"70,018,222,711,955",0.33%,27.98%,"70,018,222,711,955",0.33%,16.99%,
pool143d6z506u6yfufgzrtx8ywcwx3j4s29lxv5tdugcpcwk2l83gck,,"70,016,999,050,680",0.33%,28.31%,,0.00%,16.99%,
pool1fcp4d2pxh0e7q5ju63sjqcdpxpr3pvxg6ykl23t6c97d7dnvjvw,KILN1,"69,913,557,221,625",0.32%,28.63%,"69,913,557,221,625",0.32%,17.32%,
pool1zz7x8ergn02chznayj9fjds2gk5q6prmpdr49faspd65kzqsrjs,AUTO,"69,446,448,754,042",0.32%,28.96%,"69,446,448,754,042",0.32%,17.64%,
pool1gclysx2h7fndj0jdajlmwvqr8q9tzu3rurjknacu0ff954fsg9a,1PCT0,"69,208,966,902,473",0.32%,29.28%,"69,208,966,902,473",0.32%,17.96%,
pool1xn4kqt45xh3udf87kmtkdfz8xh9qn6trlqsf39eusk23ufmxhgr,,"69,192,847,858,271",0.32%,29.60%,,0.00%,17.96%,
pool1ju8f57hyvaa32tp85r468kuedvmjmcy56f8u9968drea57p50l5,AICHI,"69,093,633,749,899",0.32%,29.92%,"69,093,633,749,899",0.32%,18.28%,
pool1lfvzgsrghmugvpym868mh29288ez0nncz680mamzjygu2jpuwcd,NORTH,"67,567,316,781,290",0.31%,30.23%,"67,567,316,781,290",0.31%,18.60%,
pool1qqqqqdk4zhsjuxxd8jyvwncf5eucfskz0xjjj64fdmlgj735lr9,ATADA,"67,409,547,950,331",0.31%,30.55%,"67,409,547,950,331",0.31%,18.91%,
pool13k6tphjfsgqdq7h27p4x86ruchcdg2x073luw8pndh3ajxvwvja,BLC,"67,131,076,492,548",0.31%,30.86%,"67,131,076,492,548",0.31%,19.22%,
pool13hxlxd6qa68fmfhrvvmasa0mjg30tj9p5v2lmgmgsmrp2rgzkfp,dtDn,"66,920,041,988,213",0.31%,31.17%,"66,920,041,988,213",0.31%,19.53%,
pool1mtuhuh8hkf8am0qzx45y58kll8q83sjh6pwljrflcmw970d82f3,KILN6,"66,564,997,413,478",0.31%,31.48%,"66,564,997,413,478",0.31%,19.84%,
pool15cy4p3axu0m6sfrmxsp46z5cevx3ruksfwjl48730cgx24j4ydz,TECH,"66,548,765,846,560",0.31%,31.79%,"66,548,765,846,560",0.31%,20.15%,
pool1zkdc6ve9nndk7vxnjlalhqt4hr5h8auz5qzjk7lrjrqtv23yuy5,CLOVR,"66,265,051,656,686",0.31%,32.10%,"66,265,051,656,686",0.31%,20.46%,
pool15yyxtkhz64p7a8cnax9l7u82s9t9hdhyxsa3tdm977qhgpnsuhq,SECUR,"66,253,621,912,298",0.31%,32.41%,"66,253,621,912,298",0.31%,20.77%,
pool16f95up5u5lyqne5mnxmlhe0rgdgmya27mph288r6gw0ukegjffa,MARAC,"65,448,675,292,518",0.30%,32.71%,"65,448,675,292,518",0.30%,21.07%,
pool1xs34q2z06a46nk7hl48d27dj5gzc6hh9trugw2ehs9ajsevqffx,SNAKE,"65,051,984,360,819",0.30%,33.01%,"65,051,984,360,819",0.30%,21.37%,
pool1z5uqdk7dzdxaae5633fqfcu2eqzy3a3rgtuvy087fdld7yws0xt,OCTAS,"65,044,755,296,281",0.30%,33.31%,"65,044,755,296,281",0.30%,21.68%,
pool1ddg6t2h9kj6lqlec4ncjs945lzj43m3ggrgdhf5sgzhtygpkznz,FAIR,"64,984,234,527,760",0.30%,33.62%,"64,984,234,527,760",0.30%,21.98%,
pool1a8n7f97dmgtgrnl53exccknjdchqxrr9508hlxlgqp6xvjmzhej,HAPPY,"64,364,295,786,942",0.30%,33.92%,"64,364,295,786,942",0.30%,22.28%,
pool1whmm0hkxunyhxsr6dfjpx2tpvd05qhev820lx9vcmvqa5wjc6nh,1COMM,"64,162,369,511,096",0.30%,34.21%,"64,162,369,511,096",0.30%,22.57%,
pool1ff2hr0sukqqd75jr2rh3wrmnesxqgpq42dgd6rm3ungnqp904ue,BD3,"64,127,115,403,144",0.30%,34.51%,"64,127,115,403,144",0.30%,22.87%,
pool1kl2vuauwfc5k0avf874ym5tcm04ywa22frleszhujeccj4va3lt,N/A,"63,173,055,175,880",0.29%,34.81%,"63,173,055,175,880",0.29%,23.17%,
pool15s7w4spg5ee7n7rprhs0dq78plw2mhjkpu5v97uvl27gz2way7z,BALNC,"62,341,418,913,074",0.29%,35.09%,"62,341,418,913,074",0.29%,23.46%,
pool1sysgx87cwxnqy0pqn8g97gdhd0dmre9rw3jvpn2k7apuwa7cgkn,EVE6,"61,792,222,038,908",0.29%,35.38%,"61,792,222,038,908",0.29%,23.74%,
pool192pfftt48zc4x5aellvpufk6l6zxllpldw0rx82vrhqrqfhhqs2,EMUR5,"61,721,890,680,418",0.29%,35.67%,"61,721,890,680,418",0.29%,24.03%,
pool1vkc0dvuf8rxrch87umfayacgglrh8f88ef0f64xrdue5u2xjwfm,IFS1,"61,493,102,228,412",0.29%,35.95%,"61,493,102,228,412",0.29%,24.32%,
pool19w5khsnmu27au0kprw0kjm8jr7knneysj7lfkqvnu66hyz0jxsx,ATAD2,"61,307,821,740,552",0.28%,36.24%,"61,307,821,740,552",0.28%,24.60%,
pool1ra2su7cvnmr83pu9nvvz4a9carsgc9egc3e5fuk7h9pycyp5ela,LBF4,"61,119,921,647,103",0.28%,36.52%,"61,119,921,647,103",0.28%,24.89%,
pool1m0drnjxsvnlesq0rwmur2rh6lenuql57jfzd6cf6aegj2cv7ugy,EMUR1,"60,850,488,754,529",0.28%,36.81%,"60,850,488,754,529",0.28%,25.17%,
pool1j6xfryctrxm4aplw3vnrtgfsvqdr35exenxqse5kzxmfue7qqmr,N/A,"60,761,087,313,943",0.28%,37.09%,"60,761,087,313,943",0.28%,25.45%,
